============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(3.69 MeV) ==> SiO2 - quartz (ICRU-245)(  1 um) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   79  1 .3528094E+07   1000020E-02  .8907E+05 -.9551E+02   .1094171  .9939951 -.0012674
T   80  1 .3527981E+07   1000025E-02  .9027E+05 -.5361E+02   .1142963  .9934105 -.0084831
T   81  1 .3525291E+07   1000020E-02  .8786E+05 -.3097E+03   .1210995  .9926293 -.0046925
T   82  1 .3523322E+07   1000018E-02  .8436E+05 -.9446E+02   .1165033  .9931878  .0022109
T   83  1 .3545250E+07   1000018E-02  .8609E+05 -.2015E+03   .1265255  .9919594 -.0027994
T   84  1 .3544077E+07   1000018E-02  .9211E+05 -.2575E+03   .1002225  .9949640 -.0014468
T   85  1 .3539458E+07   1000018E-02  .8557E+05 -.1143E+03   .1155244  .9933022 -.0021989
T   86  1 .3541708E+07   1000008E-02  .8334E+05  .2952E+03   .1311120  .9913472  .0063558
T   87  1 .3519389E+07   1000003E-02  .8685E+05  .9903E+02   .1128784  .9936055 -.0025641
T   88  1 .3526416E+07   1000024E-02  .8787E+05  .1064E+03   .1209232  .9926569  .0031268
T   89  1 .3531981E+07   1000006E-02  .9236E+05  .1618E+03   .1014079  .9948369  .0039889
T   90  1 .3500343E+07   1000008E-02  .8905E+05 -.5144E+03   .1086644  .9940472 -.0078893
T   91  1 .3502214E+07   1000021E-02  .8850E+05 -.3440E+03   .1144286  .9934203 -.0047212
T   92  1 .3543107E+07   1000005E-02  .8501E+05  .8201E+02   .1244554  .9922065 -.0060971
T   93  1 .3495911E+07   1000015E-02  .9103E+05 -.1338E+03   .1096175  .9939736  .0006916
T   94  1 .3533474E+07   1000004E-02  .8952E+05  .3589E+03   .1129657  .9935592  .0088794
T   95  1 .3530743E+07   1000023E-02  .9048E+05  .6291E+00   .1113597  .9937762  .0027993
T   96  1 .3533517E+07   1000014E-02  .8879E+05  .4147E+03   .1162552  .9931364  .0128417
T   97  1 .3516252E+07   1000018E-02  .8850E+05 -.6201E+02   .1204855  .9927147  .0008599
T   98  1 .3514355E+07   1000023E-02  .8745E+05 -.4556E+02   .1158206  .9932540 -.0056658
T   99  1 .3514377E+07   1000026E-02  .9192E+05 -.6792E+01   .1068884  .9942618  .0042858
T  100  1 .3521274E+07   1000001E-02  .8550E+05  .2174E+03   .1197259  .9927903  .0057616
