============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(1 MeV) ==> SiO2 - quartz (ICRU-245)(  2 um) ============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   78  1 .9108212E+06   2000193E-02 -.5575E+02 -.4587E+02   .9998911  .0007394 -.0147363
T   79  1 .9142201E+06   2000003E-02 -.7984E+02 -.3681E+02   .9997018 -.0162502 -.0182263
T   80  1 .9115734E+06   2000106E-02  .5069E-01 -.4103E+02   .9998366 -.0176394 -.0039526
T   81  1 .9110279E+06   2000235E-02 -.5123E+02  .1483E+03   .9999110 -.0045789  .0125329
T   82  1 .9189956E+06   2000174E-02 -.7651E+02 -.1090E+03   .9999925  .0038427  .0005165
T   83  1 .9079657E+06   2000201E-02  .9024E+02  .1272E+02   .9997590  .0102241  .0194285
T   84  1 .9083880E+06   2000235E-02  .1543E+03  .1158E+03   .9998786  .0129272  .0087001
T   85  1 .9145025E+06   2000201E-02 -.2231E+02  .1804E+03   .9994124  .0043323  .0340018
T   86  1 .9081094E+06   2000231E-02 -.2249E+02  .2220E+03   .9996670 -.0113068  .0231976
T   87  1 .9166589E+06   2000117E-02  .1249E+03 -.7572E+02   .9997914  .0197379 -.0052509
T   88  1 .9149013E+06   2000156E-02  .1076E+02  .4606E+02   .9999818 -.0060042  .0005253
T   89  1 .9108740E+06   2000110E-02  .3884E+02 -.2455E+02   .9999964 -.0021003  .0016821
T   90  1 .9149468E+06   2000127E-02  .9088E+02  .4544E+02   .9995049  .0285978  .0131194
T   91  1 .9089102E+06   2000208E-02  .6964E+02  .5760E+02   .9998966  .0069455  .0125942
T   92  1 .9067369E+06   2000145E-02  .1046E+03  .5379E+02   .9998732  .0158012  .0019691
T   93  1 .9024566E+06   2000243E-02  .1163E+03  .4271E+01   .9999449  .0104332 -.0011290
T   94  1 .9114185E+06   2000150E-02 -.4904E+02  .7698E+02   .9998357 -.0177784  .0035269
T   95  1 .9071103E+06   2000198E-02  .1595E+03  .2872E+02   .9997968  .0123389  .0159382
T   96  1 .9177380E+06   2000238E-02  .1668E+03 -.1176E+03   .9994813  .0159517 -.0279757
T   97  1 .9147827E+06   2000181E-02 -.1471E+03 -.4532E+01   .9998726 -.0156876  .0029634
T   98  1 .9131207E+06   2000111E-02 -.6213E+02  .5880E+02   .9998977 -.0142928  .0005257
T   99  1 .9165664E+06   2000018E-02  .1062E+03 -.8774E+02   .9998514  .0099238 -.0140955
T  100  1 .9096761E+06   2000086E-02  .1306E+02 -.2098E+03   .9998406  .0036544 -.0174777
T  101  1 .9148836E+06   2000114E-02  .7685E+02 -.3498E+02   .9999217  .0123501  .0019934
T  102  1 .9044383E+06   2000170E-02  .9863E+02  .1240E+03   .9998460  .0025084  .0173692
T  103  1 .9259456E+06   2000227E-02 -.1273E+03 -.8698E+02   .9995817 -.0126120 -.0260243
T  104  1 .9111282E+06   2000212E-02  .3412E+02 -.5192E+02   .9999542  .0090402  .0031509
T  105  1 .9136156E+06   2000020E-02 -.6342E+02 -.9434E+01   .9999063 -.0126454  .0052349
T  106  1 .9098176E+06   2000136E-02 -.6828E+02  .1152E+03   .9998374 -.0058701  .0170503
T  107  1 .9061860E+06   2000149E-02 -.8943E+01  .1567E+03   .9997900 -.0120495  .0165752
T  108  1 .9072581E+06   2000158E-02 -.2308E+03 -.8451E+02   .9996001 -.0214240 -.0184555
T  109  1 .9076902E+06   2000007E-02 -.1393E+03 -.8902E+02   .9997635 -.0203405 -.0076995
T  110  1 .9151125E+06   2000219E-02 -.9925E+02 -.5594E+02   .9997359 -.0146314 -.0177223
T  111  1 .9138010E+06   2000029E-02 -.1945E+03  .5745E+02   .9999467 -.0042871  .0093946
T  112  1 .9096921E+06   2000033E-02 -.5549E+02 -.1148E+03   .9999035 -.0024257 -.0136783
T  113  1 .9136215E+06   2000093E-02 -.1297E+03 -.3021E+02   .9997130 -.0233733 -.0052588
T  114  1 .9106269E+06   2000023E-02  .2258E+03  .1248E+01   .9994092  .0328954  .0099538
T  115  1 .9047676E+06   2000148E-02  .2601E+02  .1263E+03   .9997785  .0038408  .0206952
T  116  1 .9081900E+06   2000146E-02 -.1693E+03  .1946E+03   .9996105 -.0155569  .0231703
T  117  1 .9117629E+06   2000093E-02 -.4348E+01 -.3640E+02   .9999934 -.0013714 -.0033610
T  118  1 .9029859E+06   2000045E-02  .5683E+02  .5554E+02   .9999275  .0106327  .0056439
T  119  1 .9122758E+06   2000177E-02  .2039E+03 -.1810E+03   .9996657  .0257354 -.0024824
T  120  1 .9174574E+06   2000096E-02  .2022E+03  .3798E+02   .9998991  .0101692 -.0099231
T  121  1 .9083257E+06   2000209E-02 -.1701E+03 -.7966E+02   .9998289 -.0164032 -.0085548
T  122  1 .9080846E+06   2000002E-02 -.1010E+03  .3596E+02   .9998728 -.0150948  .0051440
T  123  1 .9008798E+06   2000238E-02 -.1675E+03 -.2385E+03   .9996557 -.0172428 -.0197788
T  124  1 .9000030E+06   2000207E-02 -.7579E+02  .4897E+02   .9998486 -.0087297 -.0150505
T  125  1 .9066485E+06   2000233E-02 -.7963E+02 -.5709E+01   .9999320 -.0098108 -.0062991
T  126  1 .9136726E+06   2000204E-02  .1191E+02 -.4006E+01   .9999453 -.0098155  .0036191
