============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(1 MeV) ==> SiO2 - quartz (ICRU-245)(  2 um) ============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T 2099  1 .9124416E+06   2000002E-02 -.4140E+02 -.1232E+03   .9997721  .0100065 -.0188570
T 2100  1 .9104953E+06   2000074E-02 -.1218E+03  .8453E+02   .9999175 -.0065752  .0110331
T 2101  1 .9084750E+06   2000065E-02  .6688E+02 -.4139E+03   .9954813  .0029614 -.0949118
T 2102  1 .9188118E+06   2000073E-02 -.8526E+02 -.2404E+02   .9999490 -.0090219 -.0045357
T 2103  1 .9123295E+06   2000223E-02  .2494E+02  .1838E+02   .9999559 -.0014431 -.0092767
T 2104  1 .9056386E+06   2000181E-02 -.1717E+02  .1425E+03   .9999753 -.0031565  .0062738
T 2105  1 .9212627E+06   2000059E-02  .7240E+01 -.1316E+03   .9998808 -.0037708 -.0149734
T 2106  1 .9146144E+06   2000237E-02 -.3268E+02  .3733E+02   .9998988 -.0142227 -.0004372
T 2107  1 .9123328E+06   2000219E-02  .1873E+02 -.9794E+02   .9999162  .0014169 -.0128668
T 2108  1 .9068286E+06   2000132E-02  .4413E+03  .6836E+03   .9971596  .0429641  .0618617
T 2109  1 .9106004E+06   2000180E-02 -.4658E+03 -.6337E+01   .9994942 -.0317886  .0009636
T 2110  1 .9045275E+06   2000230E-02 -.6525E+03 -.3111E+03   .9970903 -.0679846 -.0344831
T 2111  1 .9065841E+06   2000052E-02  .1015E+02 -.3148E+02   .9999661  .0082321 -.0002086
T 2112  1 .9268426E+06   2000057E-02  .3479E+01  .5021E+02   .9991760 -.0157615  .0374019
T 2113  1 .9039051E+06   2000096E-02  .2649E+02 -.1028E+03   .9998868 -.0042775 -.0144227
T 2114  1 .9130092E+06   2000161E-02  .5670E+02 -.3534E+02   .9999421  .0105208  .0022421
T 2115  1 .9073577E+06   2000071E-02  .2781E+01  .3677E+02   .9999562 -.0015424  .0092336
T 2116  1 .9150439E+06   2000114E-02  .3682E+02 -.5868E+02   .9999619  .0086760  .0009147
T 2117  1 .9112191E+06   2000006E-02  .1166E+03  .1363E+03   .9997337  .0082505  .0215527
T 2118  1 .9231873E+06   2000064E-02  .1111E+03  .3241E+02   .9999127  .0100875  .0085304
T 2119  1 .9128745E+06   2000145E-02 -.3507E+02 -.3259E+02   .9999787  .0020604  .0061923
T 2120  1 .9180565E+06   2000029E-02  .1304E+03  .1075E+03   .9999331  .0023470  .0113279
T 2121  1 .9094183E+06   2000024E-02 -.9012E+02  .4207E+02   .9999718 -.0066720  .0034613
T 2122  1 .9052229E+06   2000023E-02  .1861E+03  .8415E+01   .9998862  .0147117 -.0033477
T 2123  1 .9111385E+06   2000198E-02  .2362E+03  .7628E+02   .9997798  .0202254  .0055899
T 2124  1 .9048198E+06   2000205E-02 -.1297E+03  .2849E+02   .9997375 -.0221010  .0060443
T 2125  1 .9053389E+06   2000165E-02 -.2605E+03  .2213E+02   .9994266 -.0335633  .0044712
T 2126  1 .9071645E+06   2000116E-02 -.3790E+02  .2403E+02   .9999628 -.0069770 -.0050640
T 2127  1 .9170656E+06   2000186E-02 -.1069E+03 -.5563E+02   .9999040 -.0127118 -.0055211
T 2128  1 .9118522E+06   2000046E-02 -.9633E+02  .5644E+02   .9998392 -.0161125  .0078768
T 2129  1 .9097987E+06   2000006E-02 -.3769E+02 -.9416E+02   .9999200  .0016201 -.0125419
T 2130  1 .9038555E+06   2000157E-02 -.1015E+03  .1012E+03   .9997832 -.0116013  .0172909
T 2131  1 .9030907E+06   2000077E-02 -.4455E+03  .8030E+02   .9993963 -.0338467  .0078437
T 2132  1 .9143981E+06   2000061E-02  .7506E+02  .2309E+03   .9993698  .0082604  .0345212
T 2133  1 .9100950E+06   2000000E-02 -.2104E+02  .1738E+03   .9997660  .0129974  .0172897
T 2134  1 .9052108E+06   2000038E-02 -.6613E+02 -.1405E+03   .9999815 -.0042269  .0043754
T 2135  1 .9117952E+06   2000025E-02 -.7915E+02 -.1811E+03   .9999692 -.0051464 -.0059301
T 2136  1 .9223051E+06   2000090E-02  .2153E+02 -.2742E+02   .9999966  .0009670  .0024192
T 2137  1 .9033671E+06   2000149E-02 -.5208E+02  .2526E+02   .9998990 -.0105024 -.0095704
T 2138  1 .9191522E+06   2000226E-02  .1154E+03 -.3034E+03   .9994239  .0188306 -.0282353
T 2139  1 .9047585E+06   2000033E-02  .9078E+02  .1199E+02   .9998650  .0155248 -.0053845
T 2140  1 .9059355E+06   2000219E-02 -.1383E+03 -.3637E+02   .9996299 -.0184975  .0199495
T 2141  1 .9181578E+06   2000162E-02 -.8588E+01 -.1207E+03   .9999040  .0069538 -.0119809
T 2142  1 .9091854E+06   2000057E-02  .2678E+02 -.2427E+02   .9999304 -.0014456 -.0117101
T 2143  1 .9184999E+06   2000010E-02 -.2849E+03 -.1329E+02   .9993505 -.0346639 -.0098534
T 2144  1 .9118615E+06   2000227E-02  .5764E+02 -.6676E+02   .9999652  .0012604 -.0082492
T 2145  1 .9112407E+06   2000239E-02  .6369E+01 -.4680E+02   .9997265  .0028025 -.0232200
T 2146  1 .9167412E+06   2000124E-02 -.2125E+03 -.4728E+03   .9991909 -.0094226 -.0390988
T 2147  1 .9050227E+06   2000178E-02 -.3171E+02 -.9321E+02   .9996559 -.0261590 -.0019281
T 2148  1 .9011831E+06   2000127E-02 -.3245E+03 -.8340E+02   .9993981 -.0344614 -.0039794
T 2149  1 .9173593E+06   2000239E-02 -.2724E+02  .9804E+02   .9998988  .0034779  .0137952
T 2150  1 .9119464E+06   2000050E-02 -.8458E+02  .1514E+03   .9993658 -.0069454  .0349262
T 2151  1 .9109862E+06   2000156E-02  .1167E+03 -.2723E+03   .9999557  .0031229 -.0088766
T 2152  1 .9070286E+06   2000040E-02  .2014E+02 -.1586E+03   .9993969  .0151073 -.0312663
T 2153  1 .9212538E+06   2000185E-02  .8812E+02 -.6587E+02   .9998437  .0166863  .0058349
T 2154  1 .9075890E+06   2000178E-02  .1333E+03  .6753E+01   .9999844 -.0010974  .0054761
T 2155  1 .9043511E+06   2000163E-02 -.9065E+02 -.1985E+03   .9997742 -.0118619 -.0176327
T 2156  1 .9052075E+06   2000158E-02 -.4006E+02 -.6168E+02   .9998444 -.0073885 -.0160195
T 2157  1 .9179479E+06   2000242E-02  .2999E+02  .1459E+03   .9999772 -.0014463  .0065996
T 2158  1 .9098960E+06   2000238E-02  .6008E+02 -.1899E+02   .9999439  .0058197 -.0088558
T 2159  1 .9045441E+06   2000220E-02  .6621E+02 -.3100E+02   .9998836  .0060804 -.0139959
T 2160  1 .9102028E+06   2000047E-02  .1075E+03  .1582E+03   .9999464  .0077029  .0069177
T 2161  1 .9033654E+06   2000065E-02  .5895E+02  .3580E+02   .9999925 -.0014005 -.0036237
T 2162  1 .9157414E+06   2000160E-02 -.6138E+02  .1184E+02   .9999978 -.0019019 -.0008269
T 2163  1 .9160817E+06   2000122E-02  .1224E+03 -.1406E+03   .9999055  .0018895 -.0136164
T 2164  1 .9148912E+06   2000169E-02  .2452E+02 -.2474E+01   .9998732  .0009645 -.0158948
T 2165  1 .9097959E+06   2000239E-02  .1030E+03 -.2422E+02   .9997846  .0206979  .0015413
T 2166  1 .9169393E+06   2000223E-02  .2592E+02 -.7396E+02   .9999416 -.0078291 -.0074474
T 2167  1 .9143263E+06   2000145E-02  .4529E+02 -.5142E+02   .9999595 -.0015500 -.0088651
T 2168  1 .9049175E+06   2000237E-02 -.1200E+03  .9196E+02   .9998912 -.0104069  .0104500
T 2169  1 .9006822E+06   2000038E-02  .5796E+02 -.1758E+03   .9998806  .0079083 -.0132725
T 2170  1 .9046791E+06   2000085E-02 -.4126E+02  .1172E+03   .9998114  .0022760  .0192853
T 2171  1 .8983526E+06   2000140E-02 -.3626E+02 -.7456E+02   .9999072  .0093874 -.0098697
T 2172  1 .9005077E+06   2000051E-02  .1074E+03 -.2123E+02   .9999923  .0038185 -.0008676
T 2173  1 .9097837E+06   2000078E-02 -.1477E+03  .2250E+03   .9998503 -.0105880  .0136882
T 2174  1 .9200852E+06   2000174E-02  .8187E+02 -.2772E+03   .9997211  .0130082 -.0197090
T 2175  1 .9056905E+06   2000157E-02 -.2496E+03 -.5540E+02   .9995238 -.0284247 -.0120070
T 2176  1 .9145462E+06   2000039E-02 -.3881E+03 -.6728E+03   .9970361 -.0336601 -.0691813
T 2177  1 .9074844E+06   2000176E-02  .2094E+03 -.1295E+03   .9993448  .0260473 -.0251285
T 2178  1 .9037199E+06   2000092E-02 -.6639E+01  .5388E+02   .9997051 -.0195178  .0144468
T 2179  1 .9103285E+06   2000003E-02  .4390E+03  .6015E+03   .9982212  .0351395  .0481618
T 2180  1 .9064111E+06   2000212E-02 -.1194E+03  .2810E+03   .9987562 -.0478271  .0140926
T 2181  1 .9121847E+06   2000172E-02  .1432E+03  .1848E+02   .9998971  .0120183  .0078337
T 2182  1 .9031733E+06   2000201E-02  .1513E+02 -.1641E+02   .9999701 -.0035966  .0068403
T 2183  1 .9140103E+06   2000102E-02  .5813E+02  .1379E+01   .9999243  .0121671 -.0018574
T 2184  1 .9093978E+06   2000150E-02 -.8303E+02 -.1107E+02   .9999703  .0026494  .0072367
T 2185  1 .9151663E+06   2000178E-02  .2760E+02  .6118E+01   .9997401  .0140784  .0179321
T 2186  1 .9111383E+06   2000157E-02 -.3818E+02  .5133E+01   .9999415  .0065586  .0086036
T 2187  1 .9091027E+06   2000024E-02  .5406E+03  .1517E+03   .9971143  .0736254  .0185030
T 2188  1 .9170687E+06   2000160E-02  .6184E+02 -.2277E+02   .9999854  .0024431  .0048137
T 2189  1 .9086558E+06   2000089E-02 -.9859E+01  .2939E+02   .9999460 -.0073863  .0073124
T 2190  1 .9131536E+06   2000129E-02  .4212E+02  .1175E+03   .9998618  .0048191  .0159090
T 2191  1 .9134253E+06   2000106E-02  .2749E+03  .1791E+03   .9992570  .0324261  .0208334
T 2192  1 .9076645E+06   2000207E-02 -.7776E+02 -.8551E+02   .9999268 -.0025453 -.0118300
T 2193  1 .8978421E+06   2000148E-02  .3351E+02  .1041E+03   .9997567  .0143085  .0167895
T 2194  1 .9099586E+06   2000219E-02  .5262E+02 -.6866E+02   .9997922  .0118976 -.0165533
T 2195  1 .9028548E+06   2000075E-02  .1222E+03  .1332E+03   .9990944  .0333853  .0263764
T 2196  1 .9152823E+06   2000005E-02 -.3478E+03  .6678E+02   .9995049 -.0291885  .0117445
T 2197  1 .9151369E+06   2000053E-02  .1570E+03 -.4362E+02   .9996041  .0278912  .0037112
T 2198  1 .9135283E+06   2000077E-02 -.2821E+02 -.7713E+01   .9999665  .0073495  .0035960
T 2199  1 .9161274E+06   2000095E-02 -.8524E+02  .3107E+03   .9995628 -.0179224  .0235152
T 2200  1 .9121336E+06   2000181E-02 -.5200E+03 -.1005E+03   .9985856 -.0514086 -.0135603
T 2201  1 .9167220E+06   2000097E-02  .7038E+02 -.5713E+01   .9999936 -.0021968 -.0028234
T 2202  1 .9042499E+06   2000064E-02  .4056E+02 -.1256E+02   .9999530  .0048796  .0083764
T 2203  1 .9189840E+06   2000240E-02  .1350E+03  .1145E+03   .9996439  .0198021  .0178847
T 2204  1 .8943519E+06   2000054E-02 -.8565E+02  .1146E+03   .9995451 -.0092101  .0287175
T 2205  1 .9175824E+06   2000137E-02 -.4145E+02  .1546E+03   .9998283  .0057617  .0176103
T 2206  1 .9125238E+06   2000083E-02 -.4566E+02  .1447E+03   .9998438  .0148493  .0095826
T 2207  1 .9222077E+06   2000214E-02  .4791E+02  .1347E+02   .9998663  .0147833  .0069924
T 2208  1 .9065108E+06   2000006E-02 -.2691E+03  .1764E+03   .9993838 -.0267113  .0227699
T 2209  1 .9120182E+06   2000133E-02 -.1061E+03 -.2106E+03   .9995504 -.0000214 -.0299848
T 2210  1 .9146602E+06   2000073E-02  .5447E+02 -.7173E+02   .9999959  .0022239 -.0018280
T 2211  1 .9085830E+06   2000120E-02 -.9433E+02 -.6351E+02   .9998912 -.0082924  .0122020
T 2212  1 .9086745E+06   2000170E-02  .5679E+02 -.9443E+02   .9998088  .0161417 -.0110387
T 2213  1 .9176439E+06   2000238E-02 -.5462E+02  .1445E+02   .9998841 -.0109320 -.0105936
T 2214  1 .9097414E+06   2000075E-02  .3291E+02  .9412E+02   .9999537  .0075104  .0060216
T 2215  1 .9028633E+06   2000214E-02  .2797E+02  .6133E+02   .9999456  .0010151  .0103849
T 2216  1 .9020157E+06   2000107E-02  .2058E+03 -.3544E+03   .9976020  .0476551 -.0501926
T 2217  1 .9209226E+06   2000061E-02  .1199E+03  .1714E+03   .9998346  .0033668  .0178749
T 2218  1 .9083545E+06   2000169E-02 -.5972E+02  .4230E+02   .9999842  .0004058  .0056041
T 2219  1 .9111168E+06   2000098E-02  .4204E+02 -.1683E+03   .9998899  .0049074 -.0140044
T 2220  1 .9081742E+06   2000038E-02 -.2283E+02  .2845E+02   .9998935  .0121368  .0081105
T 2221  1 .9025390E+06   2000215E-02 -.2571E+03  .5355E+02   .9995794 -.0264439  .0119039
T 2222  1 .9160944E+06   2000159E-02  .1226E+03 -.9226E+01   .9999834  .0024334 -.0052169
T 2223  1 .9107987E+06   2000072E-02 -.7989E+02 -.3392E+02   .9999714 -.0045042 -.0060693
T 2224  1 .9114357E+06   2000171E-02  .3907E+02 -.6859E+02   .9998346  .0110516 -.0144469
T 2225  1 .9115212E+06   2000227E-02 -.1126E+03 -.3619E+02   .9998831 -.0113988 -.0101907
T 2226  1 .9139840E+06   2000183E-02  .8899E+02  .4426E+01   .9999873  .0047583 -.0016334
T 2227  1 .9076790E+06   2000191E-02  .6365E+02 -.1799E+03   .9998789 -.0085214  .0130254
T 2228  1 .9061117E+06   2000153E-02 -.7517E+01  .1029E+03   .9997420  .0095785  .0205979
T 2229  1 .9029934E+06   2000223E-02 -.1212E+03  .3157E+02   .9999200 -.0113181  .0056416
T 2230  1 .9079287E+06   2000126E-02 -.2133E+03  .3049E+03   .9991936 -.0303516  .0262866
T 2231  1 .9158173E+06   2000066E-02 -.3062E+02  .6396E+02   .9999730 -.0068816  .0025669
T 2232  1 .9131869E+06   2000049E-02  .7814E+01  .7457E+02   .9999895  .0040207  .0021926
T 2233  1 .9097680E+06   2000002E-02  .9527E+02  .1350E+03   .9999171  .0123742  .0035533
T 2234  1 .9048204E+06   2000118E-02 -.7819E+03 -.7604E+03   .9959163 -.0639609 -.0637166
T 2235  1 .9077164E+06   2000005E-02 -.2357E+03  .2181E+03   .9995483 -.0205197  .0219598
T 2236  1 .9040569E+06   2000025E-02 -.3304E+02 -.1181E+03   .9999625 -.0086221 -.0007567
T 2237  1 .9025127E+06   2000048E-02  .7171E+02 -.1692E+02   .9999698 -.0066135 -.0040749
T 2238  1 .9048267E+06   2000187E-02 -.2280E+03 -.7123E+03   .9987752 -.0092044 -.0486154
T 2239  1 .8989746E+06   2000157E-02  .1017E+03  .1333E+00   .9999476  .0101147  .0015818
T 2240  1 .9081171E+06   2000179E-02 -.4719E+02 -.2846E+02   .9999897 -.0011791 -.0043855
T 2241  1 .9075821E+06   2000195E-02  .9372E+02  .7956E+02   .9999905 -.0026454  .0034760
T 2242  1 .9122717E+06   2000209E-02  .4252E+02  .1706E+03   .9997166  .0053160  .0232030
T 2243  1 .9107285E+06   2000090E-02 -.1875E+03 -.1639E+02   .9999625 -.0064618  .0057738
T 2244  1 .9072634E+06   2000154E-02 -.7912E+02 -.4457E+02   .9997612 -.0196005  .0096676
T 2245  1 .9200368E+06   2000133E-02  .3783E+02  .8335E+01   .9999552  .0082628 -.0046144
T 2246  1 .9100350E+06   2000110E-02  .6982E+02 -.5696E+02   .9999978 -.0004356 -.0020643
T 2247  1 .9204456E+06   2000204E-02 -.3456E+02 -.6397E+02   .9999851 -.0036226 -.0040784
T 2248  1 .9026412E+06   2000169E-02  .6894E+02 -.4618E+02   .9998960  .0141559 -.0027413
T 2249  1 .9074628E+06   2000072E-02  .9623E+01 -.1384E+02   .9999720  .0038929 -.0063874
T 2250  1 .9122292E+06   2000075E-02 -.3954E+02 -.4783E+03   .9994095 -.0041463 -.0341085
T 2251  1 .9163627E+06   2000206E-02 -.1244E+02  .1369E+03   .9999980  .0012230  .0015808
T 2252  1 .9104143E+06   2000191E-02  .5754E+02 -.1504E+03   .9997544  .0016299 -.0220996
T 2253  1 .9078908E+06   2000157E-02 -.1683E+03  .1014E+03   .9999289 -.0078675  .0089650
T 2254  1 .9128806E+06   2000186E-02 -.7993E+02  .1381E+03   .9999517  .0077458  .0060559
T 2255  1 .9036052E+06   2000068E-02  .1130E+03 -.2138E+03   .9997568  .0097598 -.0197777
T 2256  1 .9115450E+06   2000018E-02 -.1137E+03  .8955E+02   .9998910 -.0117523  .0089350
T 2257  1 .9103244E+06   2000095E-02 -.7102E+02  .8711E+02   .9998523 -.0025835  .0169925
T 2258  1 .9086957E+06   2000197E-02  .2916E+02  .7172E+02   .9998106  .0048460  .0188491
T 2259  1 .9186672E+06   2000161E-02 -.1001E+03  .1585E+03   .9998623 -.0145701  .0079369
T 2260  1 .9056170E+06   2000224E-02  .1543E+03  .9371E+00   .9999147  .0123505  .0042508
T 2261  1 .9022261E+06   2000098E-02 -.6438E+02 -.3804E+02   .9999718 -.0073295  .0016398
T 2262  1 .9047484E+06   2000227E-02 -.2402E+02 -.7733E+01   .9999329 -.0077081  .0086489
T 2263  1 .9130153E+06   2000009E-02 -.1220E+02 -.1828E+03   .9996171  .0067388 -.0268377
T 2264  1 .9052739E+06   2000163E-02 -.6867E+03 -.7231E+03   .9952143 -.0637256 -.0740781
T 2265  1 .9093579E+06   2000024E-02 -.1203E+03 -.1247E+03   .9997259 -.0092276 -.0215182
T 2266  1 .9090427E+06   2000160E-02 -.1891E+03  .8432E+02   .9999446 -.0081895  .0066086
T 2267  1 .9054011E+06   2000104E-02  .1454E+02  .1392E+03   .9998052 -.0044914  .0192220
T 2268  1 .9094491E+06   2000036E-02  .7422E+02 -.5356E+02   .9998964  .0113700 -.0088301
T 2269  1 .8960707E+06   2000209E-02  .1150E+04  .1804E+04   .9812633  .1028657  .1629142
T 2270  1 .9016478E+06   2000096E-02 -.4987E+03  .3721E+03   .9990136 -.0413168  .0162685
T 2271  1 .9134437E+06   2000161E-02 -.1224E+03  .1997E+02   .9987255 -.0504519  .0013867
T 2272  1 .9149643E+06   2000239E-02 -.1065E+03  .3568E+02   .9996753 -.0254428  .0014067
T 2273  1 .8997854E+06   2000106E-02  .6631E+02 -.4268E+02   .9984321 -.0192677 -.0525561
T 2274  1 .9031043E+06   2000068E-02 -.3989E+02 -.3094E+02   .9999880 -.0031069 -.0037968
T 2275  1 .9118930E+06   2000042E-02 -.1070E+03  .1612E+03   .9997804 -.0185611  .0097234
T 2276  1 .9039821E+06   2000007E-02 -.1197E+03  .7835E+02   .9997860 -.0199157 -.0056050
T 2277  1 .9064638E+06   2000055E-02 -.3403E+02  .3041E+01   .9999913  .0024414 -.0033743
T 2278  1 .9067732E+06   2000000E-02 -.2027E+03 -.8985E+02   .9998291 -.0182051 -.0032028
T 2279  1 .9120496E+06   2000208E-02 -.8680E+02  .3782E+02   .9998855 -.0150596 -.0015017
T 2280  1 .9094208E+06   2000103E-02  .4750E+02 -.3078E+02   .9999448  .0069016 -.0079185
T 2281  1 .9033008E+06   2000096E-02 -.8398E+02 -.2334E+02   .9999523 -.0097019  .0011660
T 2282  1 .9126975E+06   2000123E-02  .1030E+03  .2373E+02   .9999919  .0032911  .0023008
T 2283  1 .9143918E+06   2000203E-02 -.1722E+03  .1020E+02   .9996162 -.0226584  .0159373
T 2284  1 .9114882E+06   2000085E-02  .4575E+02  .1787E+03   .9997557  .0017244  .0220376
T 2285  1 .9117259E+06   2000073E-02 -.1272E+03 -.3000E+03   .9946708 -.0461564 -.0921937
T 2286  1 .9087618E+06   2000150E-02  .9763E+02  .1675E+02   .9999718  .0019117  .0072680
T 2287  1 .8991494E+06   2000211E-02 -.2699E+02  .2216E+03   .9999718 -.0072347  .0020323
T 2288  1 .9229906E+06   2000173E-02  .4903E+02 -.2274E+02   .9999092  .0134638  .0004692
T 2289  1 .9114370E+06   2000111E-02  .1517E+03  .3493E+02   .9997325  .0231218  .0005696
T 2290  1 .9155241E+06   2000133E-02 -.3179E+02  .7241E+02   .9999715 -.0071710 -.0023675
T 2291  1 .9032792E+06   2000181E-02  .2626E+02 -.1152E+03   .9998355  .0083639 -.0160953
T 2292  1 .9202184E+06   2000182E-02 -.1076E+03 -.4126E+02   .9999209 -.0119117  .0040329
T 2293  1 .8984877E+06   2000203E-02  .1550E+03 -.1245E+02   .9998111  .0191749  .0031739
T 2294  1 .9110951E+06   2000235E-02 -.4570E+02 -.1118E+03   .9999108 -.0069274 -.0114198
T 2295  1 .9063702E+06   2000222E-02 -.5200E+02 -.3281E+02   .9999128 -.0035387 -.0127243
T 2296  1 .9084636E+06   2000094E-02 -.1016E+03 -.5386E+01   .9998859 -.0126400  .0082697
T 2297  1 .9140829E+06   2000084E-02 -.2638E+02  .1343E+03   .9998107 -.0082924  .0176040
T 2298  1 .9087301E+06   2000078E-02  .1248E+03  .7082E+02   .9984741 -.0033488  .0551204
T 2299  1 .9000534E+06   2000099E-02  .8994E+03  .6716E+02   .9970431  .0765402  .0068248
T 2300  1 .9056207E+06   2000105E-02  .8007E+02  .7363E+02   .9999378  .0065401 -.0090347
T 2301  1 .9113975E+06   2000121E-02 -.1061E+03  .5723E+02   .9999642 -.0065455 -.0053548
T 2302  1 .8976249E+06   2000241E-02 -.1079E+03  .2766E+02   .9997728 -.0193184  .0090112
T 2303  1 .9085839E+06   2000060E-02  .7602E+02 -.2019E+03   .9997527 -.0114292  .0190769
T 2304  1 .9186765E+06   2000033E-02 -.1195E+03  .1319E+02   .9997893 -.0188473  .0081297
T 2305  1 .9176568E+06   2000124E-02 -.1447E+03 -.2066E+03   .9990861 -.0113206 -.0412177
T 2306  1 .9118866E+06   2000107E-02 -.1709E+03  .4151E+01   .9998613 -.0161633 -.0040236
T 2307  1 .9098314E+06   2000013E-02 -.1664E+03 -.5285E+02   .9962898 -.0857891  .0068530
T 2308  1 .9170114E+06   2000214E-02  .7171E+02  .3756E+01   .9999314  .0109870  .0040653
T 2309  1 .9019534E+06   2000240E-02  .3943E+02  .1585E+02   .9999826 -.0043840  .0039387
T 2310  1 .9258337E+06   2000153E-02 -.1611E+03  .7405E+02   .9999494 -.0100584  .0001519
T 2311  1 .9163025E+06   2000117E-02  .1617E+03 -.4128E+02   .9995230  .0308809 -.0004039
T 2312  1 .9025573E+06   2000162E-02 -.2509E+03 -.4936E+02   .9974855 -.0707315 -.0044405
T 2313  1 .9221683E+06   2000229E-02 -.2365E+03 -.5511E+02   .9994625 -.0323430 -.0053550
T 2314  1 .9078695E+06   2000066E-02  .1013E+03 -.2212E+02   .9994547  .0063460  .0324040
T 2315  1 .9033710E+06   2000130E-02 -.6041E+02 -.1122E+03   .9999942  .0026018 -.0021961
T 2316  1 .9115586E+06   2000230E-02  .1964E+03  .1735E+03   .9997887  .0118808  .0167777
T 2317  1 .9094400E+06   2000131E-02  .5288E+02 -.2650E+02   .9999293 -.0061765 -.0101619
T 2318  1 .9118146E+06   2000131E-02 -.3601E+02 -.7585E+02   .9999292 -.0095946 -.0070435
T 2319  1 .9045242E+06   2000117E-02  .3288E+02  .9118E+02   .9999584  .0075124  .0051745
T 2320  1 .9057877E+06   2000075E-02 -.1267E+03 -.1304E+03   .9998792 -.0147627 -.0048601
T 2321  1 .9164539E+06   2000177E-02  .4929E+02 -.1298E+03   .9997206  .0072116 -.0225102
T 2322  1 .9122698E+06   2000237E-02 -.2989E+03 -.1626E+03   .9985689 -.0492667 -.0208056
T 2323  1 .9044671E+06   2000075E-02  .1245E+03 -.8274E+02   .9997286  .0227099 -.0052024
T 2324  1 .9150750E+06   2000177E-02  .2277E+03 -.6288E+02   .9998573  .0165211 -.0035146
T 2325  1 .9120705E+06   2000171E-02 -.2202E+02  .8669E+02   .9999906 -.0037187  .0022188
T 2326  1 .9156793E+06   2000203E-02  .2609E+03 -.1540E+02   .9998212  .0156966  .0105424
T 2327  1 .9116647E+06   2000082E-02  .1422E+03 -.1114E+02   .9999335  .0074554 -.0088021
T 2328  1 .9025707E+06   2000211E-02  .2599E+02  .1219E+03   .9999037  .0023834  .0136751
T 2329  1 .9081841E+06   2000209E-02 -.1999E+03  .1399E+02   .9998412 -.0092027 -.0152616
T 2330  1 .9085370E+06   2000120E-02 -.2104E+02 -.3078E+02   .9999323 -.0052964 -.0103588
T 2331  1 .9013286E+06   2000238E-02 -.4790E+02 -.4092E+02   .9999780 -.0024273 -.0061707
T 2332  1 .9007531E+06   2000167E-02  .9144E+02  .5453E+02   .9998076  .0191699  .0041464
T 2333  1 .9037334E+06   2000194E-02  .2231E+02 -.4971E+02   .9999806 -.0053941  .0031271
T 2334  1 .9126653E+06   2000233E-02  .2084E+03  .1398E+03   .9998511 -.0053802  .0163955
T 2335  1 .8999097E+06   2000231E-02  .2626E+03 -.4245E+02   .9993908  .0304016 -.0171395
T 2336  1 .9009738E+06   2000049E-02  .1736E+03 -.1404E+03   .9990093  .0445015 -.0001303
T 2337  1 .9046752E+06   2000132E-02  .1852E+02 -.9887E+02   .9999655  .0066234 -.0050044
T 2338  1 .9090596E+06   2000217E-02 -.1583E+02 -.1811E+03   .9988531 -.0098629 -.0468529
T 2339  1 .9084650E+06   2000161E-02  .6665E+02  .3889E+02   .9999272  .0034400  .0115676
T 2340  1 .9025295E+06   2000174E-02 -.7216E+02 -.7984E+02   .9998334 -.0079053 -.0164500
T 2341  1 .9068749E+06   2000019E-02 -.1311E+03 -.1009E+03   .9996591 -.0218646 -.0142681
T 2342  1 .9026921E+06   2000212E-02  .1946E+02 -.4934E+02   .9999923  .0038998 -.0003176
T 2343  1 .9090726E+06   2000187E-02  .1406E+03 -.6355E+02   .9997349  .0179396 -.0144310
T 2344  1 .9134380E+06   2000188E-02 -.4103E+03  .2650E+03   .9987734 -.0412411  .0274034
T 2345  1 .9141598E+06   2000191E-02 -.3412E+02 -.8051E+02   .9999072 -.0135975 -.0007990
T 2346  1 .9157374E+06   2000236E-02 -.9056E+02 -.3458E+03   .9989807 -.0122576 -.0434425
T 2347  1 .9180943E+06   2000122E-02  .8996E+01  .3159E+02   .9999857 -.0026918  .0046285
T 2348  1 .9080233E+06   2000201E-02  .9725E+02  .1457E+03   .9997282  .0019252  .0232339
T 2349  1 .8960165E+06   2000074E-02  .3056E+02  .3929E+01   .9999203  .0039346 -.0119954
T 2350  1 .9190436E+06   2000016E-02 -.5430E+02 -.1050E+03   .9999617 -.0010896 -.0086865
T 2351  1 .9061047E+06   2000086E-02 -.1395E+03 -.2755E+02   .9997860 -.0163724 -.0126456
T 2352  1 .9011988E+06   2000172E-02  .1210E+02 -.5864E+02   .9999801  .0030890 -.0055096
T 2353  1 .9142261E+06   2000199E-02  .1174E+03  .4303E+02   .9998309  .0097202  .0156086
T 2354  1 .9150818E+06   2000028E-02  .1814E+00 -.2676E+02   .9999066 -.0075771 -.0113718
