,"Energy, MeV","IFlux, cm-2"
558,62.086567287020706,57109598200.80324
559,62.806272748503886,55950866521.260925
560,63.53432101220536,54862202515.40028
561,64.27080878761615,53803907893.17887
562,65.0158339052805,52754114893.53731
563,65.76949532979117,51712991680.50033
564,66.53189317293523,50680703825.64953
565,67.30312870699233,49657414178.6202
566,68.08330437818697,48643282737.87256
567,68.87252382029722,47638466521.90281
568,69.67089186842026,46643119441.0543
569,70.47851457289836,45657392170.096825
570,71.29549921340596,44704922583.65875
571,72.1219543131999,43802707847.18429
572,72.95798965353512,42908559133.74238
573,73.80371628824729,42022614942.58224
574,74.65924655850449,41145011038.1221
575,75.52469410772997,40275880337.61454
576,76.40017389669782,39415352799.634895
577,77.28580221880371,38563555313.543526
578,78.18169671551242,37720611590.08161
579,79.08797639198502,36886642053.2557
580,80.0047616328863,36062030181.69838
581,80.93217421837619,35297108957.917564
582,81.8703373402863,34539827586.39786
583,82.81937561848392,33790297134.77534
584,83.77941511742574,33048625828.315807
585,84.75058336290358,32314918954.87115
586,85.73300935898403,31589278771.169655
587,86.72682360514463,30871804410.5856
588,87.73215811360858,30162591792.535343
589,88.74914642688049,29461733533.646587
590,89.77792363548521,28769318860.8499
591,90.81862639591284,28116373099.553905
592,91.87139294877078,27479236421.208694
593,92.9363631371471,26849402761.111504
594,94.0136784251864,26226954770.647476
595,95.10348191688105,25611972113.26871
596,96.2059183750802,25004531388.951057
597,97.32113424071922,24404706060.592377
598,98.44927765227203,23812566382.486954
599,99.59049846542894,23228179331.00824
600,100.74494827300245,22669503066.509983
601,101.91278042506407,22127735631.799553
602,103.09415004931421,21592860258.807995
603,104.28921407168879,21064938169.158493
604,105.49813123720382,20544027595.684357
605,106.72106213104239,20030183723.666122
606,107.95816919988583,19523458634.373444
607,109.20961677349207,19023901251.0293
608,110.47557108652425,18542397865.08619
609,111.75620030063232,18085484359.264095
610,113.05167452679053,17634728816.9895
611,114.36216584789405,17190177577.40851
612,115.68784834161731,16751874235.590279
613,117.02889810353747,16319859596.846289
614,118.38549327052579,15894171633.336418
